Item_status,Item_ID,Category,Year_est,Warehouse_ID,Location_type,Warehouse_size,Warehouse_type,Item_engage_rate,Item_wt,Sales,Rating
Discounted,FDY46,Household,2020,AMD2,Suburban,Large,"Mega FC",0.048160824000000005,3.56332055430687,865.138626711583,5
Non-Discounted,FDK26,"Books, Games & Toys",2015,SATA,Suburban,Large,"Mega FC",0.032242661,1.41829142904622,601.851634336571,5
Non-Discounted,FDI50,"Books, Games & Toys",2015,SATA,Suburban,Large,"Mega FC",0.030905215000000003,0.5616438731977991,554.294621767791,5
Non-Discounted,FDB26,"Books, Games & Toys",2015,SATA,Suburban,Large,"Mega FC",0.031330907000000005,0.9780131057228081,395.740742608978,5
Non-Discounted,FDY49,"Books, Games & Toys",2015,SATA,Suburban,Large,"Mega FC",0.012036432000000001,1.17591597394802,423.011011541062,5
Non-Discounted,FDB04,Groceries,2015,SATA,Suburban,Large,"Mega FC",0.063354531,1.81526282384099,198.242123859328,5
Non-Discounted,FDA02,Groceries,2015,SATA,Suburban,Large,"Mega FC",0.029782937000000002,1.57559174014607,77.3436462728519,5
Non-Discounted,FDZ28,Apparel,2015,SATA,Suburban,Large,"Mega FC",0.051596927,0.27774433973649604,575.785406059439,5
Non-Discounted,FDE17,Apparel,2015,SATA,Suburban,Large,"Mega FC",0.054565932000000004,0.687421123807157,693.961769104365,5
Non-Discounted,FDQ19,Electronics,2015,SATA,Suburban,Large,"Mega FC",0.014394261,1.20277857144438,15359.1189748584,5
Non-Discounted,FDM08,Electronics,2015,SATA,Suburban,Large,"Mega FC",0.053692878000000006,1.59743981999418,8531.995540858099,5
Non-Discounted,FDP03,"Large Appliances",2015,SATA,Suburban,Large,"Mega FC",0.061301149000000006,28.5841973972046,17703.374231230602,5
Non-Discounted,FDU58,Household,2015,SATA,Suburban,Large,"Mega FC",0.016486511000000002,2.30880782242617,726.633588106457,5
Non-Discounted,FDU46,Household,2015,SATA,Suburban,Large,"Mega FC",0.011148865,2.48343316699639,590.591152101171,5
Non-Discounted,FDY34,Household,2015,SATA,Suburban,Large,"Mega FC",0.01100413,2.62916152194454,681.029896612822,5
Non-Discounted,FDO09,Household,2015,SATA,Suburban,Large,"Mega FC",0.125528734,2.71804325454592,870.274728740761,5
Non-Discounted,FDP48,Fitness,2020,AMD2,Suburban,Large,"Mega FC",0.044272226000000005,2.62395421957726,610.137500786252,5
Non-Discounted,FDI12,Fitness,2020,AMD2,Suburban,Large,"Mega FC",0.100966837,5.57969764364815,582.497405135663,5
Non-Discounted,FDY12,Fitness,2020,AMD2,Suburban,Large,"Mega FC",0.14140639400000002,5.42944430482799,784.489261597523,5
Non-Discounted,AMZ48,Fitness,2020,AMD2,Suburban,Large,"Mega FC",0.038102203,3.74822666825117,785.643431322159,5
Non-Discounted,FDV60,Fitness,2020,AMD2,Suburban,Large,"Mega FC",0.11802509100000001,2.3920287035663,748.866900425923,5
Non-Discounted,FDQ47,Watches,2020,AMD2,Suburban,Large,"Mega FC",0.169137707,0.22134946851129103,3592.8696787832296,5
Non-Discounted,FDZ13,"Books, Games & Toys",2020,AMD2,Suburban,Large,"Mega FC",0.154363209,0.458961797115001,373.653771080418,5
Non-Discounted,FDM04,Apparel,2020,AMD2,Suburban,Large,"Mega FC",0.047387144000000006,0.345947689973197,448.70002526608,5
Non-Discounted,FDS04,Apparel,2020,AMD2,Suburban,Large,"Mega FC",0.147492524,0.709128275703031,973.866563867585,5
Non-Discounted,FDV28,Apparel,2020,AMD2,Suburban,Large,"Mega FC",0.016486511000000002,0.38017087940272304,1009.10687027333,5
Non-Discounted,FDU19,Electronics,2020,AMD2,Suburban,Medium,"Mega FC",0.047036036,1.01138750632377,11941.602173139301,5
Non-Discounted,FDE56,Electronics,2020,AMD2,Suburban,Medium,"Mega FC",0.160095901,1.78575850196767,9508.048684778949,5
Non-Discounted,FDI07,"Large Appliances",2020,AMD2,Suburban,Medium,"Mega FC",0.033951827000000004,32.7537063052982,13327.515898143101,5
Non-Discounted,FDU15,"Large Appliances",2020,AMD2,Suburban,Medium,"Mega FC",0.016486511000000002,32.8518543513604,13026.356934827401,5
Non-Discounted,FDU27,"Large Appliances",2020,AMD2,Suburban,Medium,"Mega FC",0.172446822,31.1801629327886,18847.499985470302,5
Non-Discounted,FDN39,"Large Appliances",2020,AMD2,Suburban,Medium,"Mega FC",0.065890998,17.4126725025095,21427.8454040807,5
Non-Discounted,FDV10,Household,2020,AMD2,Suburban,Medium,"Mega FC",0.067083367,0.8708262445518201,1037.0066231246399,5
Non-Discounted,FDO45,Household,2020,AMD2,Suburban,Medium,"Mega FC",0.038167453000000004,2.56146373231594,1239.5758322935499,5
Non-Discounted,FDB23,Luggage,2020,AMD2,Suburban,Medium,"Mega FC",0.005620213000000001,1.85465732550353,656.655626124993,5
Discounted,NCY41,"Home Entertainment",2020,AMD2,Suburban,Medium,"Mega FC",0.076164013,1.64063870466663,3738.5392615246697,5
Non-Discounted,FDW31,Electronics,2020,AMD2,Suburban,Medium,"Mega FC",0.043402224,1.38137403853934,5003.37482102079,5
Non-Discounted,SDD55,Electronics,2020,AMD2,Suburban,Medium,"Mega FC",0.13283066,1.29990718719453,12398.259374880501,5
Non-Discounted,AMZ10,Household,2020,AMD2,Suburban,Medium,"Mega FC",0.12441028400000001,3.06441475232152,532.275763826163,5
Discounted,DRF49,"Smart Home",2017,BLR7,Suburban,Small,"Mega FC",0.071064499,1.93586232425097,3125.39866377508,5
Discounted,FDA23,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.047178116000000006,2.81722662157229,1033.146527531,5
Discounted,SDD60,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.13039045800000001,3.22661108515318,623.860927876156,5
Discounted,FDN60,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.09514008800000001,4.30303479761017,689.158724257298,5
Discounted,FDU48,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.055347985,3.80590343467733,656.4182418968389,5
Discounted,FDG60,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.06068824800000001,3.42346724810856,521.033698891469,5
Discounted,FDU11,Watches,2017,BLR7,Suburban,Small,"Mega FC",0.092576144,0.244525829626897,5659.13121545781,5
Discounted,FDT49,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.151376958,1.00357008876539,493.374525222204,5
Discounted,FDS37,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.031938828,0.28667703934814304,373.17991729261,5
Discounted,FDK50,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.028357839000000003,0.582338404247416,206.174395274393,5
Discounted,FDG26,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.042641788,1.31076465659695,530.035583165352,5
Discounted,FDD14,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.16977634600000002,1.25943385383533,382.086348966679,5
Discounted,FDK41,Apparel,2017,BLR7,Suburban,Small,"Mega FC",0.127517605,0.741584047352281,366.294989452653,5
Discounted,FDD16,Apparel,2017,BLR7,Suburban,Small,"Mega FC",0.036346224,0.46253651769595805,730.52248693351,5
Discounted,FDZ44,Electronics,2017,BLR7,Suburban,Small,"Mega FC",0.038721734,1.12820697031835,20409.090766237,5
Discounted,FDO44,Electronics,2017,BLR7,Suburban,Small,"Mega FC",0.08743667200000001,1.87673517838394,6194.71443483626,5
Discounted,DRL11,Kitchenware,2017,BLR7,Suburban,Small,"Mega FC",0.048009081,1.6244623495807,250.24746851460898,5
Discounted,NCU17,"Home Entertainment",2017,BLR7,Suburban,Small,"Mega FC",0.092865746,4.16805113662345,3180.53232255658,5
Discounted,NCL41,"Home Entertainment",2017,BLR7,Suburban,Small,"Mega FC",0.041729735000000004,3.10471026436011,3645.8953308321697,5
Discounted,NCS53,"Home Entertainment",2017,BLR7,Suburban,Small,"Mega FC",0.08976121100000001,3.86766517156542,2404.23909627091,5
Discounted,NCV17,"Home Entertainment",2017,BLR7,Suburban,Small,"Mega FC",0.016104504000000002,3.25105368270663,3908.57242927332,5
Discounted,NCO14,"Beauty & Personal Care",2017,BLR7,Suburban,Small,"Mega FC",0.029638267000000003,0.39282847007512806,738.7994088513569,5
Discounted,NCU18,"Beauty & Personal Care",2017,BLR7,Suburban,Small,"Mega FC",0.055829496000000006,0.413853064122976,712.947598178604,5
Discounted,NCI54,"Beauty & Personal Care",2017,BLR7,Suburban,Small,"Mega FC",0.033592687,0.35551017593440004,1331.5387047264799,5
Discounted,NCQ50,"Beauty & Personal Care",2017,BLR7,Suburban,Small,"Mega FC",0.016486511000000002,0.264370690137884,1592.70731947119,5
Discounted,NCC18,"Beauty & Personal Care",2017,BLR7,Suburban,Small,"Mega FC",0.17723649700000002,0.188057809900147,1537.3297150554,5
Discounted,NCQ38,Others,2017,BLR7,Suburban,Small,"Mega FC",0.013363902,1.6902254072886,227.250158835609,5
Discounted,FDL10,Household,2017,BLR7,Suburban,Small,"Mega FC",0.039484739000000005,3.71931201365121,520.311265630727,5
Discounted,FDE34,Household,2017,BLR7,Suburban,Small,"Mega FC",0.10787099700000001,2.21307745855663,744.405430896662,5
Discounted,FDL46,Household,2017,BLR7,Suburban,Small,"Mega FC",0.054046706,2.0291650569236,321.638123250287,5
Discounted,FDH10,Household,2017,BLR7,Suburban,Small,"Mega FC",0.049295686000000005,2.60854616845493,942.019137846096,5
Discounted,DRE60,"Smart Home",2017,BLR7,Suburban,Small,"Mega FC",0.15930433300000002,2.17254642253199,2260.85530160855,5
Discounted,DRD60,"Smart Home",2017,BLR7,Suburban,Small,"Mega FC",0.03722507,2.08592568113505,2427.9791497061897,5
Non-Discounted,SDD36,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.12156338500000001,3.48378117899587,571.355149274576,5
Non-Discounted,FDL24,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.024891881,3.45774982880286,949.834263431644,5
Non-Discounted,FDM36,Fitness,2017,BLR7,Suburban,Small,"Mega FC",0.05871972600000001,3.2854476238179,844.674578087544,5
Non-Discounted,FDD26,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.07214181800000001,0.956893417171201,668.205353846022,5
Non-Discounted,FDI02,"Books, Games & Toys",2017,BLR7,Suburban,Small,"Mega FC",0.11454343,1.2136971367162,251.473126147362,5
Non-Discounted,FDE04,Apparel,2017,BLR7,Suburban,Small,"Mega FC",0.018019662000000002,0.38598984455942703,609.839953584886,5
Non-Discounted,FDQ08,Electronics,2017,BLR7,Suburban,Small,"Mega FC",0.018926773,0.9937537255476661,11464.6492007612,5
Non-Discounted,FDV20,Electronics,2017,BLR7,Suburban,Small,"Mega FC",0.059790095,1.65509015866118,12180.9717253905,5
Non-Discounted,FDW03,"Large Appliances",2017,BLR7,Suburban,Small,"Mega FC",0.024536636,37.3260121059239,22674.8548767123,5
Non-Discounted,AMZ51,"Large Appliances",2017,BLR7,Suburban,Small,"Mega FC",0.022054553,44.8065988151265,19213.7830375612,5
Non-Discounted,SDD03,"Large Appliances",2017,BLR7,Suburban,Small,"Mega FC",0.008734284,24.8443783878641,7450.334748136819,5
Non-Discounted,FDW21,Household,2017,BLR7,Suburban,Small,"Mega FC",0.005962753,2.26505357616091,1081.68313348565,5
Non-Discounted,FDJ58,Household,2017,BLR7,Suburban,Small,"Mega FC",0.105276162,2.66640975142812,884.001937630029,5
Discounted,SDD48,Fitness,2013,DEL4,Urban,Medium,"Specialized Storage",0.22011111700000002,3.44439033980575,986.404310377597,5
Discounted,FDO16,Apparel,2013,DEL4,Urban,Medium,"Specialized Storage",0.02528802,0.5618837358590341,1092.87092473331,5
Discounted,FDE53,Apparel,2013,DEL4,Urban,Medium,"Specialized Storage",0.044991876,0.612920207092824,706.890543729379,5
Discounted,FDV31,Electronics,2013,DEL4,Urban,Medium,"Specialized Storage",0.17862291900000002,1.9912938469822299,15996.099845734501,5
Discounted,FDF32,Electronics,2013,DEL4,Urban,Medium,"Specialized Storage",0.11395356200000001,0.8923141522071291,10244.8832124566,5
Discounted,DRN35,Kitchenware,2013,DEL4,Urban,Medium,"Specialized Storage",0.11758006200000001,2.37651631782068,287.251136308301,5
Discounted,NCQ17,"Home Entertainment",2013,DEL4,Urban,Medium,"Specialized Storage",0.19572112500000002,2.46427700651931,4942.0280103714895,5
Discounted,NCQ41,"Home Entertainment",2013,DEL4,Urban,Medium,"Specialized Storage",0.032606181000000005,2.53174814124323,3543.5446690651197,5
Discounted,NCN06,"Beauty & Personal Care",2013,DEL4,Urban,Medium,"Specialized Storage",0.20168772000000001,0.18315677728558002,1436.71989212606,5
Discounted,NCF30,"Beauty & Personal Care",2013,DEL4,Urban,Medium,"Specialized Storage",0.211306673,0.249179727414984,880.3564976575229,5
Discounted,FDQ39,"Large Appliances",2013,DEL4,Urban,Large,"Specialized Storage",0.13564792,40.3961309481642,19904.9491183587,5
Discounted,FDL45,Household,2013,DEL4,Urban,Large,"Specialized Storage",0.063081713,3.48658611007316,988.811680203354,5
Discounted,SDD10,Household,2013,DEL4,Urban,Large,"Specialized Storage",0.016804724,2.33766779749346,936.869508606355,5
Discounted,FDZ09,Household,2013,DEL4,Urban,Large,"Specialized Storage",0.175545889,1.08546900083678,1494.78653585328,5
Discounted,DRJ13,"Smart Home",2013,DEL4,Urban,Large,"Specialized Storage",0.10526547500000001,2.41128494691551,2559.63326389334,5
Discounted,DRD24,"Smart Home",2013,DEL4,Urban,Large,"Specialized Storage",0.051544658,1.58179153880913,1976.3381003001198,5
Discounted,DRH25,"Smart Home",2013,DEL4,Urban,Large,"Specialized Storage",0.02442574,2.57429236063971,2616.8416459412397,5
Non-Discounted,FDC60,Fitness,2013,DEL4,Urban,Large,"Specialized Storage",0.19160333400000001,5.95766650918928,671.2220138795869,5
Non-Discounted,FDJ36,Fitness,2013,DEL4,Urban,Large,"Specialized Storage",0.214681063,3.00883581384113,516.382672592373,5
Non-Discounted,FDU47,Watches,2013,DEL4,Urban,Large,"Specialized Storage",0.19056903800000002,0.333661220269141,6703.13943161288,5
Non-Discounted,FDA03,Groceries,2013,DEL4,Urban,Large,"Specialized Storage",0.07609703500000001,1.24987495479661,180.759742416315,5
Non-Discounted,FDY40,Apparel,2013,DEL4,Urban,Large,"Specialized Storage",0.143670179,0.476008160286131,822.90394564192,5
Non-Discounted,FDZ16,Apparel,2013,DEL4,Urban,Large,"Specialized Storage",0.267565911,0.6181261709601941,543.726479976633,5
Non-Discounted,FDW07,Electronics,2013,DEL4,Urban,Large,"Specialized Storage",0.23883187500000003,1.71643446786525,12310.4123347903,5
Discounted,FDW23,Fitness,2014,BLR5,Urban,Large,"Mega FC",0.08194404500000001,3.77636164622052,1275.64910921557,5
Discounted,FDW59,Watches,2014,BLR5,Urban,Large,"Mega FC",0.020698674,0.0773784355403649,2349.63760028558,5
Discounted,DRF27,Groceries,2014,BLR5,Urban,Large,"Mega FC",0.028393624000000003,1.2655710463636,164.354840091591,5
Discounted,FDB15,Groceries,2014,BLR5,Urban,Large,"Mega FC",0.13669689200000001,1.58261168182821,170.225943094843,5
Discounted,FDG16,Apparel,2014,BLR5,Urban,Large,"Mega FC",0.08974206500000001,0.809928792586724,1013.08698428657,5
Discounted,FDJ04,Apparel,2014,BLR5,Urban,Large,"Mega FC",0.12434848200000001,0.542986644937214,877.72822760585,5
Discounted,FDJ32,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.057744249000000004,1.37598972006791,17885.9547248885,5
Discounted,FDM56,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.070133177,1.83181125770356,12678.8574844126,5
Discounted,FDB45,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.021312043000000003,1.66131250195838,4716.91485989594,5
Discounted,DRJ23,Kitchenware,2014,BLR5,Urban,Large,"Mega FC",0.041634206,1.64400084494152,486.520226927706,5
Discounted,NCN06,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.12039699100000001,0.22574509726553502,1069.71923486999,5
Discounted,NCF43,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.05190268,0.49991424948049706,1511.7420543066598,5
Discounted,NCG07,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.052458358000000004,0.388798473189216,812.629188796255,5
Discounted,BAS55,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.160529322,0.288255359872334,2010.3146742636898,5
Discounted,NCN30,"Beauty & Personal Care",2014,BLR5,Urban,Large,"Mega FC",0.016979063000000003,0.326515289929298,866.78401071561,5
Discounted,FDF22,Household,2014,BLR5,Urban,Large,"Mega FC",0.056783389000000004,2.63737775220279,1150.53521459414,5
Discounted,FDQ10,Household,2014,BLR5,Urban,Large,"Mega FC",0.03315162,1.93357599155024,466.67950382772,5
Discounted,DRK13,"Smart Home",2014,BLR5,Urban,Large,"Mega FC",0.11507174,1.93093337845933,1809.9514176948599,5
Discounted,DRL37,"Smart Home",2014,BLR5,Urban,Large,"Mega FC",0.053327763,1.36798528783652,3184.10743445315,5
Non-Discounted,FDL38,"Books, Games & Toys",2014,BLR5,Urban,Large,"Mega FC",0.014720848000000002,0.45556915972266504,560.670728019751,5
Non-Discounted,FDV13,"Books, Games & Toys",2014,BLR5,Urban,Large,"Mega FC",0.02758789,1.57541106542126,309.055546526444,5
Non-Discounted,AMZ04,Apparel,2014,BLR5,Urban,Large,"Mega FC",0.041536962000000004,0.46871739194717704,766.216192360841,5
Non-Discounted,FDF53,Apparel,2014,BLR5,Urban,Large,"Mega FC",0.083536989,0.21081775370285002,748.6695182651899,5
Non-Discounted,FDD21,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.016486511000000002,1.90688372981603,14261.8027232939,5
Non-Discounted,FDO20,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.152001201,0.8719625077588401,10705.1902569716,5
Non-Discounted,FDC21,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.042923071,0.8929393268073541,12345.9122642559,5
Non-Discounted,FDV19,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.035227697,1.55867344803139,11828.8784290044,5
Non-Discounted,FDW43,Electronics,2014,BLR5,Urban,Large,"Mega FC",0.022406575,1.72298172170367,14158.5562307974,5
Non-Discounted,FDO46,Household,2014,BLR5,Urban,Large,"Mega FC",0.014200671000000002,1.95685323575786,974.848690007336,5
Non-Discounted,FDT10,Household,2014,BLR5,Urban,Large,"Mega FC",0.061992874,2.89677253620323,1256.02558297011,5
Non-Discounted,FDB23,Luggage,2014,BLR5,Urban,Large,"Mega FC",0.005583951,1.29401914389487,538.621269365077,5
Discounted,FDN60,Fitness,2022,DEL5,Urban,Medium,"Regional FC",0.095545715,3.87196337419709,997.92832774622,5
Discounted,FDU23,Watches,2022,DEL5,Urban,Medium,"Regional FC",0.021811987,0.325984990882419,5712.336342590939,5
Discounted,FDM13,"Pet Supplies",2022,DEL5,Urban,Medium,"Regional FC",0.06343267600000001,0.841123932059576,905.065297914522,5
Discounted,FDB50,"Books, Games & Toys",2022,DEL5,Urban,Medium,"Regional FC",0.154244343,1.22595654374795,473.593239635823,5
Discounted,FDC04,Groceries,2022,DEL5,Urban,Medium,"Regional FC",0.045168898000000006,1.1925300317323,55.1300534711522,5
Discounted,DRF03,Groceries,2022,DEL5,Urban,Medium,"Regional FC",0.045492697000000006,0.9130495624388311,122.424960608102,5
Discounted,FDG53,Apparel,2022,DEL5,Urban,Medium,"Regional FC",0.046043736,0.305364840003715,834.829013660776,5
Discounted,FDP16,Apparel,2022,DEL5,Urban,Medium,"Regional FC",0.039454924,0.259310140120516,787.238081803359,5
Discounted,FDE08,Electronics,2022,DEL5,Urban,Medium,"Regional FC",0.049520593,0.7455320552746241,15094.929466388601,5
Discounted,FDQ44,Electronics,2022,DEL5,Urban,Medium,"Regional FC",0.036287517000000005,1.02543458318172,11691.5608607906,5
Discounted,DRJ47,Kitchenware,2022,DEL5,Urban,Medium,"Regional FC",0.044430561,0.980445214299214,334.098229290046,5
Discounted,NCO05,"Home Entertainment",2022,DEL5,Urban,Medium,"Regional FC",0.046749112,3.34551409022595,2928.13717921219,5
Discounted,BAS54,"Home Entertainment",2022,DEL5,Urban,Medium,"Regional FC",0.050256604,2.77136409594106,1238.4063865952699,5
Discounted,NCJ29,"Home Entertainment",2022,DEL5,Urban,Medium,"Regional FC",0.035336287,3.96084080999359,2946.2613171244097,5
Discounted,NCE06,"Beauty & Personal Care",2022,DEL5,Urban,Medium,"Regional FC",0.091857904,0.39656169221720305,1309.9225500251598,5
Discounted,NCP14,"Beauty & Personal Care",2022,DEL5,Urban,Medium,"Regional FC",0.110739031,0.328451201049762,2018.3091925832998,5
Discounted,NCH06,"Beauty & Personal Care",2022,DEL5,Urban,Medium,"Regional FC",0.076866235,0.42644624377126805,725.305568731003,5
Discounted,NCH55,"Beauty & Personal Care",2022,DEL5,Urban,Medium,"Regional FC",0.034813556,0.251235327259819,1671.8534002869899,5
Discounted,NCN42,"Beauty & Personal Care",2022,DEL5,Urban,Medium,"Regional FC",0.014280554,0.6296645424886981,1874.28938429347,5
Discounted,FDM03,"Large Appliances",2022,DEL5,Urban,Medium,"Regional FC",0.123531974,29.0453914984344,18815.40372568,5
Discounted,FDK55,"Large Appliances",2022,DEL5,Urban,Medium,"Regional FC",0.02586664,44.1922181259661,17436.5991594291,5
Discounted,FDU39,"Large Appliances",2022,DEL5,Urban,Medium,"Regional FC",0.036184755,42.190414291912,18382.263711496802,5
Discounted,NCO07,Others,2022,DEL5,Urban,Medium,"Regional FC",0.009816092,2.04256153740204,513.537589654031,5
Discounted,FDF22,Household,2022,DEL5,Urban,Medium,"Regional FC",0.057062186,2.39739169644924,1178.8126848868199,5
Discounted,FDI46,Household,2022,DEL5,Urban,Medium,"Regional FC",0.074648119,2.38442949264979,1288.79040723714,5
Discounted,FDD22,Household,2022,DEL5,Urban,Medium,"Regional FC",0.10005562500000001,0.9102135843830331,1169.3596371823198,5
Discounted,FDZ45,Household,2022,DEL5,Urban,Medium,"Regional FC",0.06714840700000001,1.7497395802481,1197.34285554174,5
Discounted,FDT45,Household,2022,DEL5,Urban,Medium,"Regional FC",0.057546914000000005,2.12919948294405,694.720352096872,5
Discounted,FDL34,Household,2022,DEL5,Urban,Medium,"Regional FC",0.041112694000000005,3.13394939979773,701.36607442055,5
Discounted,FDA45,Household,2022,DEL5,Urban,Medium,"Regional FC",0.156012631,2.21705349481736,1210.46322041904,5
Discounted,DRI01,"Smart Home",2022,DEL5,Urban,Medium,"Regional FC",0.016486511000000002,2.22306366273234,2227.06692793667,5
Discounted,DRJ13,"Smart Home",2022,DEL5,Urban,Medium,"Regional FC",0.063146492,1.97162066429069,1287.34639208198,5
Non-Discounted,FDU47,Watches,2022,DEL5,Urban,Medium,"Regional FC",0.114318263,0.23756316545409503,4023.4741628848396,5
Non-Discounted,FDB02,"Books, Games & Toys",2022,DEL5,Urban,Medium,"Regional FC",0.029283081000000002,1.11140115551947,320.787965501537,5
Non-Discounted,FDM50,"Books, Games & Toys",2022,DEL5,Urban,Medium,"Regional FC",0.030211742000000003,1.02346509122883,365.173355915865,5
Non-Discounted,FDC14,"Books, Games & Toys",2022,DEL5,Urban,Medium,"Regional FC",0.016486511000000002,0.9209489055327301,264.709503482481,5
Non-Discounted,FDH50,"Books, Games & Toys",2022,DEL5,Urban,Medium,"Regional FC",0.162093059,0.7895919042811811,584.828025488956,5
Non-Discounted,FDD52,Groceries,2022,DEL5,Urban,Medium,"Regional FC",0.184041545,1.49877267812578,134.451312856772,5
Non-Discounted,FDH04,Apparel,2022,DEL5,Urban,Medium,"Regional FC",0.011419301000000001,0.497625048755138,545.196251889649,5
Non-Discounted,FDH56,Electronics,2022,DEL5,Urban,Medium,"Regional FC",0.06407717,1.05842019551215,14772.4851040113,5
Non-Discounted,AMZ31,Electronics,2022,DEL5,Urban,Medium,"Regional FC",0.014885998000000001,1.07433691596738,12202.798339327801,5
Non-Discounted,FDO51,"Large Appliances",2022,DEL5,Urban,Medium,"Regional FC",0.042153502,33.7774127535055,21323.001604621702,5
Non-Discounted,FDV22,Household,2022,DEL5,Urban,Medium,"Regional FC",0.009979271000000001,3.0489156238998003,1017.8113352321999,5
Non-Discounted,FDJ21,Household,2022,DEL5,Urban,Medium,"Regional FC",0.038685176,3.07884223953372,931.300091788063,5
Discounted,FDI14,"Books, Games & Toys",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.089243504,0.7388313775145,650.416158130025,5
Discounted,FDU25,"Books, Games & Toys",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.026552056,0.7904420438157581,505.86863005301797,5
Discounted,FDC53,Apparel,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.008792907,0.546806587787892,980.2542854578439,5
Discounted,FDD28,Apparel,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.053038775,0.7218656654542711,1023.3788833330499,5
Discounted,FDO40,Apparel,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.032470108000000004,0.570923867686389,1037.3099790803099,5
Discounted,FDT40,Apparel,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.09533143300000001,0.8379794756783131,576.134062824838,5
Discounted,FDD33,Electronics,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.016486511000000002,1.04723733661342,11021.8053856395,5
Discounted,FDW20,Electronics,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.024032484,1.02496540566759,10524.7110939003,5
Discounted,DRN47,Kitchenware,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.016745264000000003,2.29175706667582,290.033573654218,5
Discounted,NCY53,"Home Entertainment",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.058198141,2.78993542142674,4677.667916370479,5
Discounted,NCE19,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.092564193,0.29452943735992804,271.781890118369,5
Discounted,NCE55,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.12929931,0.312568110689364,1199.40543181515,5
Discounted,NCG43,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.073879939,0.206462211942351,1274.3263540539099,5
Discounted,NCH06,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.07618366700000001,0.27685167663917404,1009.4328528624999,5
Discounted,NCM30,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.066969525,0.24011072492430602,1030.5415240335699,5
Discounted,NCN42,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.014153743000000002,0.334522892148624,1613.58086036992,5
Discounted,NCU42,"Beauty & Personal Care",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.019412192,0.381899725874624,1376.40153324823,5
Discounted,NCJ19,Others,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.11760771900000001,1.35356832925829,359.750441145666,5
Discounted,FDD46,Household,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.14057197100000002,3.23703625896118,1192.6817505489898,5
Discounted,FDL33,Household,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.09947845100000001,2.71304669764313,628.642941632294,5
Discounted,FDP09,Household,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.033725743,1.5245318841407,1241.13653984502,5
Discounted,DRL37,"Smart Home",2018,HYD8,Urban,Medium,"Last-Mile Hub",0.053113721,1.53598149135864,1992.1091041155898,5
Non-Discounted,FDE36,Fitness,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.016486511000000002,3.58397866391899,892.249806686459,5
Non-Discounted,FDG12,Fitness,2018,HYD8,Urban,Medium,"Last-Mile Hub",0.006295472000000001,3.72329020279556,667.604450824905,5
